2025-11-01 16:16:33.636 [JavaFX Application Thread] INFO  com.datacomp.service.ServiceFactory - Using GPU compression service
2025-11-01 16:16:33.966 [JavaFX Application Thread] INFO  com.datacomp.ui.DataCompApp - Application started successfully
2025-11-01 16:16:35.863 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuFrequencyService - Selected GPU device: NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available)
2025-11-01 16:16:35.878 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuCompressionService - GPU compression service initialized: GPU (NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available))
2025-11-01 16:16:35.892 [JavaFX Application Thread] INFO  com.datacomp.service.ServiceFactory - Using GPU compression service
2025-11-01 16:16:44.871 [pool-2-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Compressing input.tar (61419520 bytes) into 2 chunks
2025-11-01 16:16:48.763 [pool-2-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Compression complete: 61419520 -> 50411818 bytes ({:.2f}%) in {:.2f}s ({:.2f} MB/s)
2025-11-01 16:16:53.222 [JavaFX Application Thread] INFO  com.datacomp.ui.DataCompApp - Application stopping
2025-11-01 16:21:20.445 [JavaFX-Launcher] INFO  com.datacomp.ui.DataCompApp - Initializing DataComp application
2025-11-01 16:21:20.672 [JavaFX Application Thread] INFO  com.datacomp.ui.MainViewController - Initializing main view controller
2025-11-01 16:21:21.164 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuFrequencyService - Selected GPU device: NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available)
2025-11-01 16:21:21.550 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuCompressionService - GPU compression service initialized: GPU (NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available))
2025-11-01 16:21:21.565 [JavaFX Application Thread] INFO  com.datacomp.service.ServiceFactory - Using GPU compression service
2025-11-01 16:21:21.800 [JavaFX Application Thread] INFO  com.datacomp.ui.DataCompApp - Application started successfully
2025-11-01 16:21:25.000 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuFrequencyService - Selected GPU device: NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available)
2025-11-01 16:21:25.018 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuCompressionService - GPU compression service initialized: GPU (NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available))
2025-11-01 16:21:25.035 [JavaFX Application Thread] INFO  com.datacomp.service.ServiceFactory - Using GPU compression service
2025-11-01 16:21:40.159 [pool-2-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Compressing input.tar (61419520 bytes) into 2 chunks
2025-11-01 16:21:42.798 [pool-2-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Compression complete: 61419520 -> 50411818 bytes ({:.2f}%) in {:.2f}s ({:.2f} MB/s)
2025-11-01 16:22:00.369 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuFrequencyService - Selected GPU device: NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available)
2025-11-01 16:22:00.389 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuCompressionService - GPU compression service initialized: GPU (NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available))
2025-11-01 16:22:00.402 [JavaFX Application Thread] INFO  com.datacomp.service.ServiceFactory - Using GPU compression service
